name,link
Richard Feynman,https://en.wikipedia.org/wiki/Richard_Feynman
Rita Levi-Montalcini,https://en.wikipedia.org/wiki/Rita_Levi-Montalcini)
Rob Pike,https://en.wikipedia.org/wiki/Rob_Pike
Robert Noyce,https://en.wikipedia.org/wiki/Robert_Noyce
Roberta Williams,https://en.wikipedia.org/wiki/Roberta_Williams
Rosalind Franklin,https://en.wikipedia.org/wiki/Rosalind_Franklin
Rosalyn Sussman Yalo,https://en.wikipedia.org/wiki/Rosalyn_Sussman_Yalow
Ruth Lichterman,https://en.wikipedia.org/wiki/ENIAC
Sally Kristen Ride,https://en.wikipedia.org/wiki/Sally_Ride
Samuel Morse,https://en.wikipedia.org/wiki/Samuel_Morse
Satish Dhawan,https://en.wikipedia.org/wiki/Satish_Dhawan
Satoshi Nakamoto,https://en.wikipedia.org/wiki/Satoshi_Nakamoto
Satyendra Nath Bose,https://en.wikipedia.org/wiki/Satyendra_Nath_Bose
Sergey Alexeyevich Chaplygin,https://en.wikipedia.org/wiki/Sergey_Chaplygin
Sergey Petrovich Kapitsa,https://en.wikipedia.org/wiki/Sergey_Kapitsa
Seymour Roger Cray,https://en.wikipedia.org/wiki/Seymour_Cray
Shafi Goldwasser,https://en.wikipedia.org/wiki/Shafi_Goldwasser
Sir Mokshagundam Visvesvaraya,https://en.wikipedia.org/wiki/Visvesvaraya
Sophie Kowalevski,https://en.wikipedia.org/wiki/Sofia_Kovalevskaya
Sophie Wilson,https://en.wikipedia.org/wiki/Sophie_Wilson
Srinivasa Ramanujan,https://en.wikipedia.org/wiki/Srinivasa_Ramanujan
Stefan Banach,https://en.wikipedia.org/wiki/Stefan_Banach
Stephen Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking
Stephen Jay Gould,https://en.wikipedia.org/wiki/Stephen_Jay_Gould
Steve Wozniak,https://en.wikipedia.org/wiki/Steve_Wozniak
Subrahmanyan Chandrasekhar,https://en.wikipedia.org/wiki/Subrahmanyan_Chandrasekhar
Sue Black,https://en.wikipedia.org/wiki/Sue_Black_(computer_scientist)
Susan Kare,https://en.wikipedia.org/wiki/Susan_Kare
Sylvia B. Wilbur,https://en.wikipedia.org/wiki/Sylvia_Wilbur
Taher A. ElGamal,https://en.wikipedia.org/wiki/Taher_Elgamal
Tat’yana Avenirovna Proskuriakova,https://en.wikipedia.org/wiki/Tatiana_Proskouriakoff
Teruko Ishizaka,https://en.wikipedia.org/wiki/Teruko_Ishizaka
Thomas Edison,https://en.wikipedia.org/wiki/Thomas_Edison
Varahamihira,https://en.wikipedia.org/wiki/Var%C4%81hamihira#Contributions
Vera Rubin,https://en.wikipedia.org/wiki/Vera_Rubin
Walter Houser Brattain,https://en.wikipedia.org/wiki/Walter_Houser_Brattain
Wanda Austin,https://en.wikipedia.org/wiki/Wanda_Austin
Werner Heisenberg,https://en.wikipedia.org/wiki/Werner_Heisenberg
Wilbur Wright,https://en.wikipedia.org/wiki/Wright_brothers
Wilhelm Conrad Röntgen,https://en.wikipedia.org/wiki/Wilhelm_R%C3%B6ntgen
William Shockley,https://en.wikipedia.org/wiki/William_Shockley
Yeong-Sil Jang,https://en.wikipedia.org/wiki/Jang_Yeong-sil
Youyou Tu,https://en.wikipedia.org/wiki/Tu_Youyou
Yukihiro Matsumoto,https://en.wikipedia.org/wiki/Yukihiro_Matsumoto
Yuri Alekseyevich Gagarin,https://en.wikipedia.org/wiki/Yuri_Gagarin
Yvonne Brill,https://en.wikipedia.org/wiki/Yvonne_Brill
Wangari Maathai,https://en.wikipedia.org/wiki/Wangari_Maathai
Mary Anning,https://en.wikipedia.org/wiki/Mary_Anning
Temple Grandin,https://en.wikipedia.org/wiki/Temple_Grandin
Michelle Simmon,https://en.wikipedia.org/wiki/Michelle_Simmons
Suzanne Cory,https://en.wikipedia.org/wiki/Suzanne_Cory
Emma Johnston,https://en.wikipedia.org/wiki/Emma_Johnston
